ENER KAPPA TIME
1 785094.422 3.32077098
2 784524.377 2.957391
3 784049.876 2.946203
4 783661.287 2.945832
5 783347.872 2.9447858
6 783098.707 2.948334
7 782903.338 3.008389
8 782752.186 3.0150602
9 782636.766 2.944474
10 782549.766 2.9446919
11 782485.029 2.9444909
12 782437.475 2.944535
13 782402.995 2.9443619
14 782378.321 2.9446381
15 782360.896 2.9442341
16 782348.755 2.9445341
17 782340.41 2.9446521
18 782334.754 2.9441118
19 782330.973 2.9443373
20 782328.481 3.22228
21 782326.862 3.300006
22 782325.826 3.298097
23 782325.172 3.300359
24 782324.765 3.298894
25 782324.515 3.298178
26 782324.363 3.298495
27 782324.272 3.298536
28 782324.217 3.298302
29 782324.183 3.298567
30 782324.161 3.298167
31 782324.146 3.299336
32 782324.133 3.297943
33 782324.122 3.297542
34 782324.109 3.299269
35 782324.094 3.299175
36 782324.077 3.299442
37 782324.056 3.297683
38 782324.031 3.297993
39 782324 3.298407
40 782323.961 3.298974
41 782323.915 3.303085
42 782323.857 3.302248
43 782323.786 3.300211
44 782323.698 3.303842
45 782323.59 3.304005
46 782323.457 3.303994
47 782323.292 3.302802
48 782323.088 3.305435
49 782322.836 3.303766
50 782322.525 3.305409
51 782322.142 3.30227
52 782321.671 3.30769
53 782321.091 3.298369
54 782320.381 3.298289
55 782319.514 3.296046
56 782318.457 3.298033
57 782317.173 3.298866
58 782315.619 3.297629
59 782313.744 3.297328
60 782311.492 3.281577
61 782308.797 3.287086
62 782305.583 3.284979
63 782301.766 3.284019
64 782297.252 3.287159
65 782291.932 3.287069
66 782285.69 3.28409
67 782278.393 3.283555
68 782269.896 3.277386
69 782260.039 3.286397
70 782248.649 3.275229
71 782235.535 3.274993
72 782220.492 3.276466
73 782203.296 3.274946
74 782183.709 3.290892
75 782161.474 3.274112
76 782136.316 3.274718
77 782107.943 3.272128
78 782076.047 3.272651
79 782040.299 3.273186
80 782000.354 3.618904
